Computerkey,PrincipalNm,,InstanceNm,AgentNm,EditionNm,VersionNm,ServicePackVersionDesc,DatabaseNm,OwnerNm,RecoveryModelDesc
2513,BG6VA1309.odd.svc.company.com,BG6VA1309\\COMPUTECLUSTER,COMPUTECLUSTER,SQLAgent$COMPUTECLUSTER,Express Edition,10.50.1600.1,0,msdb,sa,SIMPLE
3837,VRTVA1492.odd.svc.company.com,VRTVA1492\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3000.0,1,model,,
3837,VRTVA1492.odd.svc.company.com,VRTVA1492\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3000.0,1,master,sa,SIMPLE
3837,VRTVA1492.odd.svc.company.com,VRTVA1492\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3000.0,1,msdb,sa,SIMPLE
3837,VRTVA1492.odd.svc.company.com,VRTVA1492\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3000.0,1,SSISDB,,
3837,VRTVA1492.odd.svc.company.com,VRTVA1492\\MSSQLSERVER,MSSQLSERVER,SQLSERVERAGENT,Enterprise Edition,11.1.3000.0,1,tempdb,sa,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,Application_Registry_Service_DB_17290831380042798484ea8bce838953,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,Bdc_Service_DB_e6f9f3b09f224677a4a8453ed409f42b,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,INTMODE_ReportServer,odd\praveen.swamy,FULL
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,ReportServer_INTTempDB,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,ReportServer_NTTA_INT,odd\praveen.swamy,FULL
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,ReportServer_RSSPSHAREDTempDB,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,RSnttaINT,odd\praveen.swamy,FULL
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,Search_Service_Application_CrawlStoreDB_5819d88715344a81aa224fde73b02a0d,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,Search_Service_Application_DB_ccf34bb0071f46b1822317d85385217c,odd\2758_msrsNTTA_sql,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,Secure_Store_Service_DB_d41868dc51654eeb9ea5092eaf26c4f9,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,User Profile Service Application_SocialDB_1544d26c7dd3473e9e231bb372188765,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,WSS_Content,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,Managed Metadata Service_e31d88318fee405d993a2a8a26a8a877,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,model,sa,FULL
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,ReportServer,odd\praveen.swamy,SIMPLE
