Computerkey,PrincipalNm,VolumeNm,LogicalDiskNm,LogicalDiskDesc,DeviceId,LogicalDiskSizeNbr
5827,STRVD6117.odd.svc.company.com,,D:,Local Fixed Disk,D:,98300
5827,STRVD6117.odd.svc.company.com,,D:\Log,Mounted Disk,D:\Log,NULL
5940,CTCVD6705.odd.svc.company.com,,\\?\Volume{2e17682b-bc22-11e2-80b9-806e6f6e6963},Mounted Disk,\\?\Volume{2e17682b-bc22-11e2-80b9-806e6f6e6963},NULL
5988,CTCVW6303.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61437
6147,CTCVW6511.odd.svc.company.com,New D Drive,D:,Local Fixed Disk,D:,81916
7446,VRTVD5073.odd.svc.company.com,,D:\Data,Mounted Disk,D:\Data,NULL
7446,VRTVD5073.odd.svc.company.com,,D:\Log,Mounted Disk,D:\Log,NULL
7446,VRTVD5073.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61437
7446,VRTVD5073.odd.svc.company.com,,D:\TempDB,Mounted Disk,D:\TempDB,NULL
7452,VRTVD4953.odd.svc.company.com,,D:\Log,Mounted Disk,D:\Log,NULL
7452,VRTVD4953.odd.svc.company.com,,D:\TempDB,Mounted Disk,D:\TempDB,NULL
7452,VRTVD4953.odd.svc.company.com,,D:\Data,Mounted Disk,D:\Data,NULL
7467,VRTVD5022.odd.svc.company.com,,D:\Data,Mounted Disk,D:\Data,NULL
7467,VRTVD5022.odd.svc.company.com,,D:\Log,Mounted Disk,D:\Log,NULL
7467,VRTVD5022.odd.svc.company.com,,D:\TempDB,Mounted Disk,D:\TempDB,NULL
7474,VRTVW5028.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61437
7509,VRTVD5083.odd.svc.company.com,,D:\Data,Mounted Disk,D:\Data,NULL
7509,VRTVD5083.odd.svc.company.com,,D:\Log,Mounted Disk,D:\Log,NULL
7509,VRTVD5083.odd.svc.company.com,,D:\TempDB,Mounted Disk,D:\TempDB,NULL
7605,VRTVD5072.odd.svc.company.com,,D:\Log,Mounted Disk,D:\Log,NULL
7605,VRTVD5072.odd.svc.company.com,,D:\TempDB,Mounted Disk,D:\TempDB,NULL
7605,VRTVD5072.odd.svc.company.com,,D:\Data,Mounted Disk,D:\Data,NULL
8022,VRTVA4991.odd.svc.company.com,,A:,3 1/2 Inch Floppy Drive,A:,NULL
8022,VRTVA4991.odd.svc.company.com,,D:,Local Fixed Disk,D:,131068
8022,VRTVA4991.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61437
8022,VRTVA4991.odd.svc.company.com,,H:,CD-ROM Disc,H:,NULL
10299,VRTVA5636.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61437
10299,VRTVA5636.odd.svc.company.com,,A:,3 1/2 Inch Floppy Drive,A:,NULL
10299,VRTVA5636.odd.svc.company.com,,D:,Local Fixed Disk,D:,61436
10299,VRTVA5636.odd.svc.company.com,,H:,CD-ROM Disc,H:,NULL
