Computerkey,PrincipalNm,DeviceId,ProcessorNM,SpeedDesc,LogicalProcessorsNbr,ManufacturerNm,CPUKey
1332,STRVW5312.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6134,2300,2,AuthenticAMD,2
1406,BG6RS2101.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,1,AuthenticAMD,3
1622,BG6RS1202.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,1,AuthenticAMD,3
1646,BG6RS2102.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,1,AuthenticAMD,3
1858,STRDS5102.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
1858,STRDS5102.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
1858,STRDS5102.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
1858,STRDS5102.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
1861,STRWS5103.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
1861,STRWS5103.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
1861,STRWS5103.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
1861,STRWS5103.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
2404,STRVA5915.odd.svc.company.com,CPU1,Six-Core AMD Opteron(tm) Processor 8431,2400,2,AuthenticAMD,5
2404,STRVA5915.odd.svc.company.com,CPU0,Six-Core AMD Opteron(tm) Processor 8431,2400,2,AuthenticAMD,5
2407,STRVD5202.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
2407,STRVD5202.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
2407,STRVD5202.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
2407,STRVD5202.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
2523,STRWS5104.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
2523,STRWS5104.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
2523,STRWS5104.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
2523,STRWS5104.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
2550,STRVA5916.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6134,2300,2,AuthenticAMD,2
2550,STRVA5916.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6134,2300,2,AuthenticAMD,2
2699,STRVW6124.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6174,2300,2,AuthenticAMD,6
2699,STRVW6124.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6174,2300,2,AuthenticAMD,6
3175,STRVW6123.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6174,2300,2,AuthenticAMD,6
3175,STRVW6123.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6174,2300,2,AuthenticAMD,6
3185,VRTVW4171.odd.svc.company.com,CPU5,AMD Opteron(tm) Processor 6176 SE,2300,0,AuthenticAMD,3
3185,VRTVW4171.odd.svc.company.com,CPU7,AMD Opteron(tm) Processor 6176 SE,2300,0,AuthenticAMD,3
3185,VRTVW4171.odd.svc.company.com,CPU4,AMD Opteron(tm) Processor 6176 SE,2300,0,AuthenticAMD,3
3185,VRTVW4171.odd.svc.company.com,CPU6,AMD Opteron(tm) Processor 6176 SE,2300,0,AuthenticAMD,3
3488,VRTVW1654.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6174,2200,2,AuthenticAMD,6
3488,VRTVW1654.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6174,2200,2,AuthenticAMD,6
3837,VRTVA1492.odd.svc.company.com,CPU1,AMD Opteron(TM) Processor 6276,2800,2,AuthenticAMD,7
3837,VRTVA1492.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6174,2300,2,AuthenticAMD,6
3837,VRTVA1492.odd.svc.company.com,CPU0,AMD Opteron(TM) Processor 6276,2800,2,AuthenticAMD,7
3837,VRTVA1492.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6174,2300,2,AuthenticAMD,6
4090,STRDS6104.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
4090,STRDS6104.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
4090,STRDS6104.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
4090,STRDS6104.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
4228,VRTVA4282.odd.svc.company.com,CPU6,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
4228,VRTVA4282.odd.svc.company.com,CPU5,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
4228,VRTVA4282.odd.svc.company.com,CPU7,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
4228,VRTVA4282.odd.svc.company.com,CPU4,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
4332,STRVA6137.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,2,AuthenticAMD,3
4332,STRVA6137.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176 SE,2300,2,AuthenticAMD,3
4338,STRWS6106.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176 SE,2200,4,AuthenticAMD,3
4338,STRWS6106.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2200,4,AuthenticAMD,3
4338,STRWS6106.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176 SE,2200,4,AuthenticAMD,3
4338,STRWS6106.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176 SE,2200,4,AuthenticAMD,3
4389,POFDS3734.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
4389,POFDS3734.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
4389,POFDS3734.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
4389,POFDS3734.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
4766,VRTVW1658.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6174,2200,2,AuthenticAMD,6
4766,VRTVW1658.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6174,2200,2,AuthenticAMD,6
4784,STRWS6107.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
4784,STRWS6107.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
4784,STRWS6107.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
4784,STRWS6107.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
4957,BG6RS1102.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,1,AuthenticAMD,3
4961,STRWS6105.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
4961,STRWS6105.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
4961,STRWS6105.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
